,name,,,epoch,lr,train_loss,valid_loss,test_loss,valid_MAE,test_MAE,,
145,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_3_lr_0.001_seed_1\log_file.csv,GNN_4_16_GCN_layer_3_lr_0.001_seed_1,GCN_layer_3_lr_0.001_seed_1,145,0.000175276,29.60732195,33.32684708,33.07362747,33.82235336,33.56879425,33.21613057,0.401464522
115,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_3_lr_0.001_seed_2\log_file.csv,GNN_4_16_GCN_layer_3_lr_0.001_seed_2,GCN_layer_3_lr_0.001_seed_2,115,0.000383277,31.3758323,32.15707779,32.28443909,32.65076447,32.77923203,,
100,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_3_lr_0.001_seed_3\log_file.csv,GNN_4_16_GCN_layer_3_lr_0.001_seed_3,GCN_layer_3_lr_0.001_seed_3,100,0.0005,32.88440299,32.30932236,32.80559158,32.80439758,33.30036545,,
171,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_5_lr_0.001_seed_1\log_file.csv,GNN_4_16_GCN_layer_5_lr_0.001_seed_1,GCN_layer_5_lr_0.001_seed_1,171,5.10E-05,27.88326932,30.2164135,28.93603706,30.70999336,29.42997742,29.47800827,0.059878189
161,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_5_lr_0.001_seed_2\log_file.csv,GNN_4_16_GCN_layer_5_lr_0.001_seed_2,GCN_layer_5_lr_0.001_seed_2,161,9.09E-05,28.0820187,28.80652046,29.0514164,29.30028534,29.54509544,,
163,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_5_lr_0.001_seed_3\log_file.csv,GNN_4_16_GCN_layer_5_lr_0.001_seed_3,GCN_layer_5_lr_0.001_seed_3,163,8.21E-05,27.84011835,28.94150734,28.96560287,29.43515587,29.45895195,,
193,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_8_lr_0.001_seed_1\log_file.csv,GNN_4_16_GCN_layer_8_lr_0.001_seed_1,GCN_layer_8_lr_0.001_seed_1,193,3.02E-06,26.08779179,28.98400879,27.88960648,29.47724152,28.3817482,28.52960078,0.25241031
175,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_8_lr_0.001_seed_2\log_file.csv,GNN_4_16_GCN_layer_8_lr_0.001_seed_2,GCN_layer_8_lr_0.001_seed_2,175,3.81E-05,26.66939164,28.11241913,27.8936615,28.60514832,28.3860054,,
174,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_8_lr_0.001_seed_3\log_file.csv,GNN_4_16_GCN_layer_8_lr_0.001_seed_3,GCN_layer_8_lr_0.001_seed_3,174,4.11E-05,26.74710863,28.37734795,28.32741547,28.87086678,28.82104874,,
185,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_16_lr_0.001_seed_1\log_file.csv,GNN_4_16_GCN_layer_16_lr_0.001_seed_1,GCN_layer_16_lr_0.001_seed_1,185,1.38E-05,26.10190332,28.26631737,27.11214638,28.75901222,27.60484505,28.00563367,0.552949376
177,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_16_lr_0.001_seed_2\log_file.csv,GNN_4_16_GCN_layer_16_lr_0.001_seed_2,GCN_layer_16_lr_0.001_seed_2,177,3.23E-05,27.5136568,28.29445839,28.1432209,28.78742599,28.63646889,,
198,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GCN_layer_16_lr_0.001_seed_3\log_file.csv,GNN_4_16_GCN_layer_16_lr_0.001_seed_3,GCN_layer_16_lr_0.001_seed_3,198,2.47E-07,25.60698961,27.10031319,27.28339958,27.59235764,27.77558708,,
,,,,,,,,,,,,
191,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_3_lr_0.001_seed_1\log_file.csv,GNN_4_16_GIN_layer_3_lr_0.001_seed_1,GIN_layer_3_lr_0.001_seed_1,191,4.99E-06,28.51203874,29.31263351,28.47219276,29.8065052,28.96548271,28.86172994,0.166478987
194,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_3_lr_0.001_seed_2\log_file.csv,GNN_4_16_GIN_layer_3_lr_0.001_seed_2,GIN_layer_3_lr_0.001_seed_2,194,2.22E-06,28.45219621,28.31193542,28.17634392,28.80480766,28.66970444,,
182,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_3_lr_0.001_seed_3\log_file.csv,GNN_4_16_GIN_layer_3_lr_0.001_seed_3,GIN_layer_3_lr_0.001_seed_3,182,1.99E-05,28.46153362,28.32277298,28.45635033,28.8164978,28.95000267,,
191,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_5_lr_0.001_seed_1\log_file.csv,GNN_4_16_GIN_layer_5_lr_0.001_seed_1,GIN_layer_5_lr_0.001_seed_1,191,4.99E-06,27.08805509,28.88885498,28.07318115,29.38243294,28.56633186,28.46841621,0.088111274
193,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_5_lr_0.001_seed_2\log_file.csv,GNN_4_16_GIN_layer_5_lr_0.001_seed_2,GIN_layer_5_lr_0.001_seed_2,193,3.02E-06,26.97986852,28.20693779,27.95080757,28.69979858,28.44339561,,
197,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_5_lr_0.001_seed_3\log_file.csv,GNN_4_16_GIN_layer_5_lr_0.001_seed_3,GIN_layer_5_lr_0.001_seed_3,197,5.55E-07,26.52375728,27.87064552,27.90300369,28.36353111,28.39552116,,
188,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_8_lr_0.001_seed_1\log_file.csv,GNN_4_16_GIN_layer_8_lr_0.001_seed_1,GIN_layer_8_lr_0.001_seed_1,188,8.86E-06,26.68802186,28.86180878,28.1225605,29.35451317,28.61494637,28.90008354,0.289780359
185,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_8_lr_0.001_seed_2\log_file.csv,GNN_4_16_GIN_layer_8_lr_0.001_seed_2,GIN_layer_8_lr_0.001_seed_2,185,1.38E-05,27.92763926,28.57446098,28.70077705,29.06748199,29.19429398,,
179,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_8_lr_0.001_seed_3\log_file.csv,GNN_4_16_GIN_layer_8_lr_0.001_seed_3,GIN_layer_8_lr_0.001_seed_3,179,2.70E-05,28.08724007,28.19081306,28.39715576,28.68334198,28.89101028,,
195,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_16_lr_0.001_seed_1\log_file.csv,GNN_4_16_GIN_layer_16_lr_0.001_seed_1,GIN_layer_16_lr_0.001_seed_1,195,1.54E-06,27.33736599,28.84140396,27.95316505,29.33447456,28.44650459,28.93906593,0.537443148
197,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_16_lr_0.001_seed_2\log_file.csv,GNN_4_16_GIN_layer_16_lr_0.001_seed_2,GIN_layer_16_lr_0.001_seed_2,197,5.55E-07,27.99569511,28.94131279,29.01948357,29.43419647,29.5122757,,
188,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GIN_layer_16_lr_0.001_seed_3\log_file.csv,GNN_4_16_GIN_layer_16_lr_0.001_seed_3,GIN_layer_16_lr_0.001_seed_3,188,8.86E-06,27.87903177,28.19813919,28.3655529,28.69066811,28.85841751,,
